Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight,Inch
"Asus VivoBook 15 OLED K513EQ Core i5 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop",109450  bdt,Intel Core i5-1135G7 ,15.6-inch OLED  FHD (1920 x 1080) Touch ScreenNo ,8GB, PCIe Gen3 x2 M.2 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 10 64-bit ,1.80 kg,15.6
Dell Inspiron 15 3520 Intel Core i5 1235U 15.6 Inch FHD Display Carbon Black Laptop #WARMLKN15ADL23051010PLASPP-2Y,84630  bdt,Intel Core i5 12th (Intel) Core i5 1235U Not Specified 4.40GHz 10 12 12MB Not Specified ,"15.6 Full HD Display Full HD 1920x1080 Anti- Glare No 120 Hz Narrow Bazel Brightness: 250 nits, WVA Display No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe Not Specified Installed SSD can be upgradeable ,Intel(R) UHD Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.65 kg,15.232530120481924
"HUAWEI MateBook B3-520 Core i3 11th Gen 15.6"" FHD Laptop",64600  bdt,Intel Core i3-1115G4 ,15.6 inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB,NVMe PCIe SSD 256 GB ,Intel UHD Graphics Shared ,Windows 11 home ,1.56 kg,15.6
"ASUS VivoBook 15 X515JA Core i5 10th Gen 15.6"" FHD Laptop",63520  bdt,Intel Core i5-1035G1 ,"15.6-inch  FHD (1920 x 1080) Touch ScreenNo Display Features16:9, Anti-glare display, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 % Display ",4GB,SATA HDD 1TB ,Intel UHD Graphics Shared ,Windows 11 Home ,1.80 kg,15.6
MSI Summit E16 Flip A12UCT 16 inch QHD+ 165Hz Touch Display Core i7 12th Gen LPDDR5 32GB RAM 1TB SSD 2 In 1 Gaming Laptop With RTX 3050 Max-Q 4GB Graphics,249900  bdt,"Core i7-1280P ( 24MB, 3.60 GHz up to 4.80 GHz ) Core: 14 , Thread: 20 , (Performance-cores: 6, Efficient-cores: 8)","16 Inch, IPS, QHD+ (2560 x 1600), Support MSI Pen, 165Hz, 16:10, 100%DCI-P3",32GB,1TB NVMe PCIe Gen4x4 SSD,Iris Xe Graphics,Windows11 Home,1.9 kg,15.232530120481924
"Lenovo K14 Core i3 11th Gen 14"" FHD Business Series Laptop",67500  bdt,Intel Core i3-1115G4 ,14 Inch TN FHD (1920 x 1080) Touch ScreenNo ,8GB,M.2 2242 PCIe TLC SSD 512GB ,Intel Iris Xe Shared ,Free Dos ,1.72,15.232530120481927
ASUS VivoBook 15 X515EA 15.6 inch Full HD Display Core i3 11th Gen 4GB RAM 1TB HDD Laptop (Peacock Blue),52000  bdt,"Intel Core i3-1115G4 Processor (6M Cache, 3.00 GHz up to 4.10 GHz)","15.6-inch, FHD (1920 x 1080) 16:9, Anti-glare display, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 %",4GB,1TB HDD WITH (Extra M.2 Nvme Slot Available For SSD),Intel UHD Graphics,Windows 11 Home,1.80 kg,15.6
Dell Inspiron 15 3525 AMD Ryzen 7 5825U 15.6 Inch FHD Display Platinum Silver Laptop #WARMLKN315AMD2301106-2Y,92230  bdt,AMD Ryzen 7 Not Applicable Ryzen 7 5825U 2.00GHz 4.50GHz 8 16 16MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-Glare No 120 Hz Narrow Bezel 250 Nits, WVA, LED Backlit Display No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,512GB SSD No HDD No HDD No M.2 NVMe PCIe Not Specified Installed SSD can be upgradeable ,AMD Radeon Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.68 kg,15.232530120481924
ASUS VivoBook 15 X515EA 15.6 inch Full HD Display Core i5 11th Gen 4GB RAM 1TB HDD Laptop,69000  bdt,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)","15.6-inch, FHD (1920 x 1080) 16:9, Anti-glare display, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 %",4GB,1TB HDD (Extra M.2 Nvme Slot Available For SSD),Intel Iris Xe Graphics,Windows 10,1.80 kg,15.6
"ASUS VivoBook 15 M515DA Ryzen 3 3250U 15.6"" HD Laptop",55920  bdt,AMD Ryzen 3 3250U ,"15.6"" HD (1366 x 768) Refresh Rate60Hz Display Features200nits, 45% NTSC color gamut for non-OLED, Screen-to-body ratio: 83 % ",4GB,SATA III 1TB HDD ,AMD Radeon Graphics Shared ,Windows 11 ,1.80 kg,15.232530120481927
"Asus VivoBook 15 E510MA Celeron N4020 15.6"" FHD Laptop with Fingerprint",49410  bdt,Intel Celeron Dual Core N4020 ,"15.6-inch FHD (1920 x 1080) Touch ScreenNo Display Features16:9,Anti-glare display, LED Backlit,200nits,NTSC: 45%,Screen-to-body ratio: 84 ％ ",4GB,PCIe G3 SSD 512GB ,Intel UHD Graphics 600 Shared ,Windows 11 Home ,1.57 kg,15.6
Walton TAMARIND ZX3701A 14-inch HD Display Core i3 7th Gen 4GB RAM 512GB M.2 SSD Laptop,nan bdt,"Intel Core i3-7020U Processor (3M Cache, 2.30 GHz)","14"" HD (1366x768) 35.56cm. 16:9 panel, 3.6mm, Display",4GB,512GB M.2 SSD (Extra HDD Slot Available),Intel HD Graphics 620,Free DOS,1.8kg,15.232530120481924
Apple MacBook Air MGNA3 MBA 13.3-inch Full HD Retina Display M1 Chip 8GB RAM 512GB SSD Laptop (Silver),142000  bdt,Apple M1,13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors,8GB,512GB SSD(Configurable to 1TB or 2TB),Integrated graphics,macOS,1.73,13.3
MSI Stealth GS66 12UGS-015BD 15.6 inch QHD 240Hz Display Core i7 12th Gen 32GB DDR5 RAM 1TB SSD Gaming Laptop with RTX 3070 Ti Max-Q GDDR6 8GB Graphics,369900  bdt,"Intel Core i7-12700H Processor 24M Cache, up to 4.70 GHz (14 Core + 20 Threads)","15.6"" QHD (2560*1440), 240Hz DCI-P3 100% typical",32GB,1TB NVMe PCIe Gen4x4 SSD,RTX 3070 Ti Max-Q GDDR6 8GB,Windows 11 Home,1.73,15.232530120481924
"Lenovo Legion 7 16ACHg6 Ryzen 7 5800H RTX 3080 16GB Graphics 16"" 165Hz Gaming Laptop",331510  bdt,AMD Ryzen 7 5800H ,16 Inch IPS QHD (2560 x 1600) Touch ScreenNo ,16GB,M.2 NVMe PCIe SSD 1TB ,NVIDIA GeForce RTX 3080 16GB ,Windows 11 Home ,2.5kg,15.232530120481927
"Lenovo ThinkPad P14s Gen 2 Core i5 11th Gen 14"" FHD Business Laptop",158500  bdt,Intel Core i5-1135G7 ,14 Inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB,M.2 2242 PCIe Gen3 TLC SDD 512GB ,Integrated Intel UHD Graphics Shared ,FreeDOS ,1.72,15.232530120481927
Acer Aspire 3 A315-58 15.6 inch FHD Display intel i3 11th Gen 8GB Ram 512GB SSD Laptop,53000  bdt,Intel Core i3-1115G4 3.00 GHz up to 4.10 GHz,"15.6 Inch LED Full HD (1920 x 1080)Aspect Ratio: 16:9, 
Display Screen Technology: ComfyView, 
45% NTSC color gamut",8GB,512GB PCIe Gen3 x2 M.2 SSD,intel UHD Graphics,Windows 11 Home,1.70 kg,15.6
MSI Modern 15 B12M 15.6 inch Full HD Display Core i5 12th Gen 8GB RAM 512GB SSD Laptop,82500  bdt,"Intel Core i5-1235U Processor (12M Cache, up to 4.40 GHz) Core: 10 Thread: 12 (Performance-cores- 2 Efficient-cores- 8)",65W adapter,8GB,Iris Xe Graphics,"15.6"" FHD (1920*1080), 60Hz 45%NTSC IPS-Level",Intel Wi-Fi 6 AX201(2*2 ax),1.7 kg,15.232530120481924
HP 15s-fq2597TU Intel Core i3 1125G4 15.6 Inch FHD Display Silver Laptop #497Z9PA-2Y,62930  bdt,Intel Core i3 11th (Intel) Core i3 1125G4 2.0 GHz 3.70 GHz 4 8 8MB Intel Integrated SoC ,"15.6 FHD Full HD 1920x1080 Anti-glare No Not Specified Micro Edge Brightness: 250 nits, micro-edge, 45% NTSC No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,256GB SSD No HDD No HDD No NVMe PCIe No Installed SSD can be upgradeable ,Intel UHD Graphics Integrated Shared Not Specified ,Win-10 Home Not Specified Microsoft Office ,1.7 kg,15.232530120481924
"Acer Aspire 7 A715-42G-R2NE Ryzen 5 5500U GTX 1650 4GB Graphics 15.6"" FHD Gaming Laptop",99860  bdt,AMD Ryzen 5 5500U ,15.6 Inch IPS Full HD (1920 x 1080) Touch ScreenNo ,8GB,"PCIe Gen3, 8 Gb/s, NVMe SSD 512 GB ",NVIDIA GeForce GTX 1650 4GB ,Windows 11 Home ,2.15 kg,15.6
Asus VivoBook S15 S513EA Intel Core i3 1115G4 4GB DDR4 15.6 Inch FHD OLED Display Indie Black Laptop #L13199W-S513EA,73780  bdt,Intel Core i3 11th (Intel) Core i3 1115G4 Not Specified 4.10 GHz 2 4 6MB Not Specified ,"15.6 FHD OLED Display Full HD 1920x1080 Glossy No 60 Hz Thin-bezel Aspect ratio: 16:9, Response time: 0.2ms response time, Peak Brightness: 600nits peak brightness, Color gamut: 100% DCI-P3 color gamut, Contrast ratio: 1,000,000:1, VESA CERTIFIED Display HDR: VESA CERTIFIED Display HDR True Black 600, Color depth: 1.07 billion colors, Pantone: PANTONE Validated, Low blue light: 70% less harmful blue light, SGS Eye Care Display: SGS Eye Care Display, Screen-to-body ratio: 85 %. No Secondary Screen No Secondary Screen No Secondary Screen ",4GB,"512GB SSD No HDD No HDD Not Specified NVMe PCIe Not Specified Additional HDD Can be added, SSD can be replaced ",Intel UHD Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.80 kg,15.232530120481924
HP 15s-du1088TU 15.6-inch Full HD Display Intel Pentium N5030 4GB Ram 1TB HDD Laptop,44500  bdt,Intel Pentium Silver 5030 (1.10 To 3.10 GHz 4MB Cache) Processor,"15.6"" diagonal FHD backlit (1920 x 1080) Display,",4GB,1TB HDD,Intel UHD Graphics 605,Windows 10 Home 64 bit,1.73,15.232530120481924
"MSI Creator M16 A12UC Core i7 12th Gen RTX 3050 4GB Graphics 16"" QHD+ Laptop",180700  bdt,Intel Core i7-12700H ,16 inch IPS QHD+ (2560 x 1600) Touch ScreenYes ,16GB, NVMe PCIe Gen4x4 SSD 512GB ,NVIDIA GeForce RTX 3050 4GB ,Windows 10 Home ,2.26 kg,15.232530120481927
Dell Vostro 14 3400 14 inch HD Display Core i3 11th Gen 4GB RAM 1TB HDD Laptop,nan bdt,"Intel Core i3-1115G4 Processor (6MB Cache, 3.0 GHz up to 4.10 GHz)","14.0-inch HD (1366 x 768), 60 Hz, Anti-glare, NTSC 45%, 220 Nits, LED Backlight Non-touch Narrow Border Display",4GB,"1TB 5400 rpm 2.5"" SATA Hard Drive(M.2 Slot Available)",Intel UHD Graphics,Free DOS,1.59 kg,14.0
"ASUS ExpertBook L1 L1400CDA Ryzen 3 3250U 14"" FHD Laptop",55640  bdt,AMD Ryzen 3 3250U ,"14-inch FHD (1920 x 1080) Touch ScreenNo Display Features16:9,Anti-glare display,220nits,NTSC: 45% ",4GB,M.2 NVMe PCIe 3.0 SSD 512GB ,AMD Radeon Graphics Shared ,Free DOS ,1.75 kg,15.232530120481927
Apple MacBook Pro (Late 2021) Apple M1 Max (10-Core) Chip 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15G0018R,398200  bdt,Apple Apple M1 Not Applicable Apple M1 Max Chip Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"14.2 Liquid Retina XDR Display 4K UHD 3024x1964 Glossy with Antireflective Coating No 120 Hz Slim Bezel Aspect Ratio: 16:10, Maximum Brightness: 1600 cd/m2 No Secondary Screen No Secondary Screen No Secondary Screen ",32GB,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 24-core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ",1.6 kg,15.232530120481924
MSI Delta 15 A5EFK-085BD Ryzen 7 5800H 15.6 Inch FHD Display Black Gray Laptop,189770  bdt,AMD Ryzen 7 Not Applicable Ryzen 7 5800H 3.20 GHz 4.40 GHz 8 16 20MB Not Specified ,15.6 FHD IPS LED Display Full HD 1920x1080 Anti Glare No 240 Hz Slim-Bazel IPS-Level No Secondary Screen No Secondary Screen No Secondary Screen ,16GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe Not Specified Not Specified ,Radeon R6700M Graphics Dedicated 10GB GDDR6 ,Win-10 Home Not Specified Not Specified ,1.9 kg,15.232530120481924
"GIGABYTE AERO 15 OLED KC Core i7 10th Gen RTX 3060P 6GB Graphics 15.6"" UHD Gaming Laptop",222430  bdt,Intel Core i7-10870H ,15.6 Inch AMOLED UHD 3840x2160 Touch ScreenNO ,16GB,NVMe PCIe SSD 512GB ,NVIDIA GeForce RTX 3060P 6GB ,Windows 10 Home ,1.72,15.6
Apple MacBook Pro (Late 2021) Apple M1 Pro Chip 16.2 Inch Liquid Retina XDR Display Silver Laptop #Z14Z00105,404710  bdt,Apple Apple M1 Not Applicable Apple M1 Pro Not Applicable Not Applicable 10 Not Applicable Not Applicable Not Applicable ,"16.2 Liquid Retina XDR Display 4K UHD 3456x2234 Glossy No 120 Hz Slim Bezel SDR brightness: 500 nits, XDR brightness: 1000 nits sustained full-screen, 1,000,000:1 contrast ratio No Secondary Screen No Secondary Screen No Secondary Screen ",32GB,1TB SSD No HDD No HDD No NVMe PCIe No Installed SSD Can Not Be Replaced ,Apple 16-Core GPU Integrated Shared Not Applicable ,"macOS App Store, Books, Calendar, Contacts, FaceTime, Find My, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos Not Specified ",2.1 kg,15.232530120481924
MSI Modern 14 B11MOU Intel Core i3 1115G4 14 Inch FHD IPS Display Carbon Gray Laptop #9S7-14D334-1056,64020  bdt,Intel Core i3 11th (Intel) Core i3 1115G4 Not Specified 4.10 GHz 2 4 6MB Not Specified ,"14 FHD IPS LED Display Full HD 1920x1080 Not Specified No 60 Hz Thin Bezel 45% NTSC, IPS-Level No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe No Installed SSD can be upgradeable ,Intel UHD Graphics Integrated Shared Not Applicable ,Free-Dos Not Specified Not Specified ,1.3 kg,15.232530120481924
Asus VivoBook 14 X1400EA 14 Full HD Display Core i3 11th Gen 8GB RAM 512GB SSD Laptop,63000  bdt,"Intel Core i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)","14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, IPS-level Panel, LED Backlit, 250nits, 45% NTSC color gamut for non-OLED, Anti-glare display, Screen-to-body ratio: 82 ％",8GB,512GB M.2 NVMe PCIe 3.0 SSD,Intel UHD Graphics,Windows 11,1.55 kg,14.0
"Acer TravelMate TMP214-53 Core i5 11th Gen 512GB SSD 14"" FHD Laptop",72740  bdt,Intel Core i5-1135G7 ,14 Inch IPS Full HD (1920X1080) Touch ScreenNo ,8GB,M.2 NVME SSD 512GB ,Intel Iris Xe Graphics Shared ,Free DOS ,1.68 kg,15.232530120481927
ASUS VivoBook 15 K513EA 15.6 inch Full HD Display Core i3 11th Gen 8GB RAM 512GB SSD Laptop (Transparent Silver),66000  bdt,"Intel Core i3-1115G4 Processor (6M Cache, 3.00 GHz up to 4.10 GHz)","15.6-inch,FHD (1920 x 1080) 16:9,IPS-level Panel, Anti-glare display, LED Backlit,250nits,NTSC: 45%,Screen-to-body ratio: 85 %",8 GB,512GB M.2 NVMe PCIe 3.0 SSD (Extra Hard Disk Slot Available),Intel UHD Graphics,Wi-Fi 5(802.11ac),1.80 kg,15.6
"HP ProBook 440 G8 Core i5 11th Gen 14"" HD Laptop",93300  bdt,Intel Core i5-1135G7 ,14 Inch LED HD (1366 x 768) Touch ScreenNo ,8GB,PCIe NVMe M.2 SSD 512GB ,Intel Iris Xe Graphics Shared ,Fee DOS ,1.38 kg,15.232530120481927
"HP ProBook 440 G8 Core i5 11th Gen 14"" FHD Laptop",94400  bdt,Intel Core i5-1135G7 ,14 Inch LED  FHD (1920 x 1080) Touch ScreenNo ,8GB,PCIe NVMe M.2 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 10 Home ,1.38 kg,15.232530120481927
Lenovo IdeaPad Slim 3i 14 inch Full HD Display Core i3 11th Gen 8GB RAM 256GB SSD Laptop (3 years Warranty),58000  bdt,"Intel Core i3-1115G4 Processor (6MB cache, 3.0 GHz up to 4.1 GHz)","14"" FHD (1920x1080) TN 250nits Anti-glare, 45% NTSC",8GB,256GB M.2 2242 PCIe 3.0x4 NVMe SSD,Integrated Intel UHD Graphics,Windows 11 Home,1.41 kg,15.232530120481924
Dell Latitude 14-3420 Intel Core i5 1135G7 14 Inch FHD Display Black Laptop,93310  bdt,Intel Core i5 11th (Intel) Core i5 1135G7 2.40 GHz 4.20 GHz 4 8 8MB Not Specified ,"14 FHD Full HD 1920x1080 Anti-glare No 60 Hz Narrow Bezel AG Non-Touch, 250nits No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,"512GB SSD No HDD No HDD Not Specified NVMe PCIe No Additional HDD Can be added, SSD can be replaced ",Intel Iris Xe Graphics Integrated Shared Not Specified ,Free-Dos McAfee Antivirus 15 Months Subscription Not Specified ,1.52kg,15.232530120481924
Apple Macbook Air M2 (MLXW3) 13.3 inch Liquid Retina Display M2 chip 8GB RAM 256GB SSD Laptop (Midnight),165000  bdt,"Apple M2 chip
8-core CPU with 4 performance cores and 4 efficiency cores","Liquid Retina display
13.6-inch (diagonal) LED-backlit display with IPS technology;1
2560-by-1664 native resolution at 224 pixels per inch with
support for 1 billion colors
500 nits brightness
The wide color (P3)
True Tone technology",8GB,256GB SSD,"8-core GPU
16-core Neural Engine
100GB/s memory bandwidth",macOS,1.73,13.6
ASUS VivoBook 15 X515FA 15.6 inch FHD IPS Display Core i3 10th Gen 4GB RAM 1TB HDD Laptop (Transparent Silver),52000  bdt,"Intel Core i3-10110U Processor 2.1 GHz (4M Cache, up to 4.1 GHz, 2 cores)","(39.62cm)15.6-inch, FHD (1920 x 1080) 16:9, LED Backlit, 200nits, NTSC: 45%, Anti-glare display, Screen-to-body ratio: 83 %",4GB,1TB SATA 5400RPM HDD (Extra M.2 Nvme Slot Available For SSD),Intel UHD Graphics,Windows 11 License,1.80 kg,15.6
"ASUS Vivobook Pro 15 M3500QC Ryzen 7 5800H RTX 3050 4GB Graphics 15.6"" FHD Laptop",155100  bdt,AMD Ryzen 7 ,"15.6"" FHD LED FHD 1920x1080 (WxH) Touch ScreenNo ",16GB,NVMe PCIe 512GB ,Nvidia RTX 3050 Graphics 4GB ,Win-11 Home ,1.65 kg,15.232530120481927
Acer Aspire Vero AV15-51-57BP 15.6 inch FHD Display Core i5 11th Gen 8GB RAM 512GB SSD Laptop,71000  bdt,"Processor Type: Core i5 
Processor Model: i5-1155G7 
Processor Speed: 2.50 GHz 
Processor Core: Quad-core (4 Core) ","15.6"" FHD (1920 x 1080), IPS, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio.",8 GB,512 GB SSD,Iris Xe Graphics,Windows 11 Home,1.80 kg,15.232530120481924
"Asus ExpertBook B1 B1400CEAE Core i7 11th Gen 14"" FHD Laptop",112200  bdt,Intel Core i7-1165G7 ,14 Inch IPS FHD (1920 x 1080) Touch ScreenNo ,16GB,M.2 NVMe PCIe 3.0 SSD 512GB ,Intel Iris Xe Graphics Shared ,Free Dos ,1.45 kg,15.232530120481927
Dell Inspiron 15 3511 15.6 Full HD Display Core i5 11th Gen 8GB RAM 1TB HDD Laptop,68000  bdt,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)",15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-touch Narrow Border WVA Display,8GB,1TB HDD(Extra M.2 NVMe SSD Slot Available ),Intel Iris Xe Graphics,Windows 10,1.85 kg,15.6
Lenovo Legion 5 Pro 16 inch WQXGA 165Hz Display Ryzen 7 5800H 16GB RAM 1TB SSD Gaming Laptop With RTX 3070 8GB Graphics (3 years Warranty),205000  bdt,"AMD Ryzen 7 5800H Processor (3.2 GHz, up to 4.4 GHz Max Boost, 8 Cores, 16 Threads,16MB Cache)","16.0"" WQXGA (2560 x 1600) IPS, anti-glare with Dolby Vision, NVIDIA G-SYNC, HDR 400, 500 nits, 165Hz, 100% sRGB",32GB,1TB SSD M.2 NVMe PCIE SSD,NVIDIA GeForce RTX 3070 8GB Graphics,Windows 11Home,2.5 kg,15.232530120481924
Dell Inspiron 15 3511 15.6 Full HD Display Core i7 11th Gen 8GB RAM 512GB SSD Laptop with MX350 2GB Graphics,105000  bdt,"Intel Core i7-1165G7 Processor (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)",15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-touch Narrow Border WVA Display,8GB,512GB M.2 PCIe NVMe SSD(Extra M.2 NVMe SSD Slot Available ),NVIDIA GeForce MX350 with 2GB GDDR5 Graphics,Windows 10,1.85 kg,15.6
Acer Swift 3 SF314-42-R8QB 14 inch FHD Display Ryzen 5 4500U 8GB RAM 512 SSD Ultra-Thin Laptop,78000  bdt,"AMD Ryzen 5 4500U Hexa-core processor (Base Clock: 2.3GHz, Max Boost Clock. Up to 4.0GHz)","14"" display with IPS (In-Plane Switching) technology, Full HD 1920 x 1080, high-brightness Acer ComfyViewTM LED-backlit TFT LCD",8 GB,"512 GB, PCIe Gen3 8 Gb/s up to 4 lanes, NVMe SSD",AMD Radeon Graphics,Windows 10 64-bit,1.2 kg,15.232530120481924
Lenovo IdeaPad 5 Pro 14ACN6 14 Inch 2.2K IPS Display Ryzen 7 5800U 16GB RAM 512GB SSD Laptop (3 years Warranty),109000  bdt,"AMD Ryzen 7 5800U Processor (1.90 GHz, up to 4.40 GHz Max Boost, 8 Cores, 16 Threads, 16 MB Cache)","14.0"" 2.2K (2240 x 1400) IPS, Brightness: 300nits, Aspect Ratio: 16:10, Contrast Ratio: 1500:1, Color Gamut: 100% sRGB, Viewing Angle: 170 Degree",16GB,512GB SSD M.2 2280 PCIe NVMe,Integrated AMD Radeon Graphics,Free-Dos,1.38 kg,15.232530120481924
Dell Vostro 15 3510 15.6 Full HD Display Core i7 11th Gen 8GB RAM 512GB SSD Laptop with MX350 2GB Graphics,nan bdt," Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)","15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border",8GB,512GB SSD M.2 PCIe NVMe,NVIDIA MX350 2GB GDDR5,Free DOS,1.69 kg,15.232530120481924
Dell Inspiron 15 3511 Intel Core i3 1115G4 256GB SSD 15.6 Inch FHD Display Carbon Black Laptop,62390  bdt,Intel Core i3 11th (Intel) Core i3 1115G4 Not Specified 4.10 GHz 2 4 6MB Not Specified ,15.6 FHD Full HD 1920x1080 Anti-glare No 60 Hz Narrow Border WVA Display Secondary Screen Size Secondary Screen Size Secondary Screen Size ,8GB,"256GB SSD Not Specified Not Specified 1 NVMe PCIe No Additional HDD Can be added, SSD can be replaced ",Intel UHD Graphics Integrated Shared Not Applicable ,Win-11 Home McAfee Antivirus 15 Months Subscription Microsoft Office ,1.73 kg,15.232530120481924
Asus X515KA Intel CDC N4500 4GB DDR4 15.6 Inch Display FHD Transparent Silver Laptop #EJ150W-X515KA,46110  bdt,Intel Intel Celeron Not Applicable CDC N4500 1.10 GHz 2.80 GHz 2 2 4MB Not Specified ,"15.6 FHD+ LED Display Full HD 1920x1080 Anti-Glare No Not Specified Slim Bezel 200nits, 45% NTSC color gamut for non-OLED, Screen-to-body ratio: 83% No Secondary Screen No Secondary Screen No Secondary Screen ",4GB,1TB HDD SATA III Not Specified Not Specified No 1 Not Specified ,Intel UHD Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.80 kg,15.232530120481924
ASUS VivoBook 14 K413EA 14 inch Full HD Display Core i5 11th Gen 8GB RAM 512GB SSD TPM Laptop (Indie Black),78000  bdt,"Intel Core i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)","14.0-inch, FHD (1920 x 1080) 16:9, IPS-level Panel, Anti-glare display, LED Backlit, 250nits, NTSC: 45%",8GB, 512GB PCIe G3 SSD And TPM (Extra M.2 NVME SSD Slot Available),Intel Iris Xe Graphics,Windows 10 Home,1.40 kg,14.0
Acer Aspire 3 A315-58 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Pure Silver Laptop #UN.ADDSI.094,56420  bdt,Intel Core i3 11th (Intel) Core i3 1115G4 Not Specified 4.10GHz 2 4 6MB Not Specified ,15.6 FHD Full HD 1920x1080 Anti- Glare No 60 Hz Slim Bazel Slim Bazel No Secondary Screen No Secondary Screen No Secondary Screen ,8GB,512GB SSD No HDD No HDD Not Specified NVMe PCIe Not Specified Not Specified ,Integrated Intel Graphics Integrated Shared Not Applicable ,Win-11 Home Not Specified Not Specified ,1.80 kg,15.232530120481924
Asus VivoBook 15 X513EP Intel Core i7 1165G7 15.6 Inch FHD WV Display Bespoke Black Laptop #BQ896W-X513EP,119350  bdt,Intel Core i7 11th (Intel) Core i7 1165G7 2.80GHz 4.70GHz 4 8 12MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-Glare No 60 Hz Slim Bezel 16:9 aspect ratio, WV Display, LED Backlit, 250nits, 45% NTSC color gamut, (Screen-to-body ratio)85% No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,256GB SSD No HDD No HDD No NVMe PCIe Not Specified Installed SSD can be upgradeable ,Nvidia MX330 Graphics Dedicated 2GB GDDR5 ,Win-11 Home MyASUS Not Specified ,1.80 kg,15.232530120481924
Acer Extensa 15 EX215-54-596B Intel Core i5 1135G7 15.6 Inch FHD Display Charcoal Black Laptop #NX.EGJSI.002,63470  bdt,Intel Core i5 11th (Intel) Core i5 1135G7 2.40 GHz 4.20 GHz 4 8 8MB Not Specified ,"15.6 FHD Full HD 1920x1080 Anti-Glare No 60 Hz Slim Bezel Aspect Ratio: 16:9, HDCP Supported: Yes, ComfyView No Secondary Screen No Secondary Screen No Secondary Screen ",8GB,"1TB HDD SATA 5400 RPM No No SSD 1 Additional SSD Can be added, HDD can be replaced ",Intel Iris Xe Graphics Integrated Shared Not Applicable ,Free-Dos Not Specified Not Specified ,1.70 kg,15.232530120481924
